references.md:1: [broken] http://www.bssaonline.org/content/82/2/1018.short: 404 Client Error: Not Found for url: http://www.bssaonline.org/content/82/2/1018.short
tdes/sa_geometry.md:150: [redirected permanently] https://aws.amazon.com/public-datasets/terrain/ to https://registry.opendata.aws/terrain-tiles/
references.md:1: [redirected with Found] https://doi.org/10.1007/pl00005410 to https://link.springer.com/article/10.1007/PL00005410
references.md:1: [redirected permanently] https://doi.org/10.1007/978-3-540-77147-0_3 to https://link.springer.com/chapter/10.1007/978-3-540-77147-0_3
references.md:1: [redirected with Found] https://doi.org/10.1007/s00607-004-0103-1 to https://link.springer.com/article/10.1007/s00607-004-0103-1
references.md:1: [redirected with Found] https://doi.org/10.1016/0021-9991(87)90140-9 to https://linkinghub.elsevier.com/retrieve/pii/0021999187901409
references.md:1: [redirected with Found] https://doi.org/10.1016/j.jcp.2003.08.011 to https://linkinghub.elsevier.com/retrieve/pii/S0021999103004352
references.md:1: [redirected with Found] https://doi.org/10.1016/j.jcp.2003.11.021 to https://linkinghub.elsevier.com/retrieve/pii/S0021999103006090
references.md:1: [redirected with Found] https://doi.org/10.1016/j.jcp.2013.06.027 to https://linkinghub.elsevier.com/retrieve/pii/S0021999113004579
references.md:1: [redirected with Found] https://doi.org/10.1016/j.jcp.2017.04.063 to https://linkinghub.elsevier.com/retrieve/pii/S002199911730342X
references.md:1: [redirected with Found] https://doi.org/10.1016/j.jcp.2018.08.012 to https://linkinghub.elsevier.com/retrieve/pii/S0021999118305345
references.md:1: [redirected with Found] https://doi.org/10.1016/j.jcp.2019.03.024 to https://linkinghub.elsevier.com/retrieve/pii/S0021999119302074
references.md:1: [redirected with Found] https://doi.org/10.1007/s00607-004-0099-6 to https://link.springer.com/article/10.1007/s00607-004-0099-6
references.md:1: [redirected with Found] https://doi.org/10.1007/s10543-017-0689-2 to https://link.springer.com/article/10.1007/s10543-017-0689-2
references.md:1: [redirected with Found] https://doi.org/10.1017/s0962492906410011 to https://www.cambridge.org/core/journals/acta-numerica/article/abs/fast-direct-solvers-for-integral-equations-in-complex-threedimensional-domains/B3CCDC43521A7EEEC0207786AE469C4B
references.md:1: [redirected with Found] https://doi.org/10.1038/324446a0 to https://www.nature.com/articles/324446a0
references.md:1: [redirected with Found] https://doi.org/10.1137/090771806 to https://epubs.siam.org/doi/10.1137/090771806
references.md:1: [redirected with Found] https://doi.org/10.1137/0907058 to https://epubs.siam.org/doi/10.1137/0907058
references.md:1: [redirected with Found] https://doi.org/10.1137/15m1034477 to https://epubs.siam.org/doi/10.1137/15M1034477
references.md:1: [redirected with Found] https://doi.org/10.1137/s0036144502417715 to https://epubs.siam.org/doi/10.1137/S0036144502417715
references.md:1: [redirected with Found] https://doi.org/10.1137/s1064827500369967 to https://epubs.siam.org/doi/10.1137/S1064827500369967
references.md:1: [redirected with Found] https://doi.org/10.5281/ZENODO.2561574 to https://zenodo.org/record/2561575
references.md:1: [redirected with Found] https://zenodo.org/record/2561574 to https://zenodo.org/record/2561575
tdes/sa_geometry.md:31: [redirected with Found] https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2011JB008524 to https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2011JB008524
